Suffix,Place Name,State,Lat,Long
town,Broomtown,AL,34.3606453,-85.5216276
sboro,Brownsboro,AL,34.7492568,-86.443044
town,Brownstown,AL,32.6020793,-87.9311267
town,Browntown,AL,34.6028626,-85.8305284
ville,Brownville,AL,31.4684979,-86.9005282
ville,Brownville,AL,33.3926155,-87.7533462
ville,Brownville,AL,33.4409417,-86.9119362
creek,Brushy Creek,AL,31.6684909,-86.6705278
ville,Buckville,AL,32.5209689,-85.8635692
city,Bull City,AL,33.4165011,-87.2583323
bank,Burbank,AL,31.2179545,-88.39057
field,Burchfield,AL,33.3448364,-87.2986109
tates,Burningtree Estates,AL,34.5187046,-86.9386179
rest,Cahaba Crest,AL,33.6301027,-86.5988755
ights,Cahaba Heights,AL,33.4639953,-86.7319322
hills,Cahaba Hills,AL,33.5389932,-86.5741517
tates,Cahaba River Estates,AL,33.354833,-86.8261004
hill,Camp Hill,AL,32.8004059,-85.6535659
ville,Campbellville,AL,33.8364933,-87.0552789
ville,Carlowville,AL,32.0870889,-87.0341526
ville,Carrville,AL,32.5498569,-85.8699585
grove,Carter Grove,AL,34.9478646,-86.6958311
ight,Cartwright,AL,34.8723085,-87.0647329
hill,Cavalry Hill,AL,34.7406465,-86.6111046
grove,Cedar Grove,AL,31.3518343,-86.3288432
grove,Cedar Grove,AL,34.856753,-87.2147389
hill,Cedar Hill,AL,33.6873319,-87.8722426
tates,Cedar Hills Estates,AL,34.7056458,-87.7530869
rings,Cedar Springs,AL,33.8639887,-86.6544357
hill,Center Hill,AL,32.9723448,-86.7716529
hill,Center Hill,AL,34.0895427,-86.7247189
hill,Center Hill,AL,34.9556392,-87.4483558
rest,Centercrest,AL,33.6573246,-86.6730445
ville,Centerville,AL,34.2762094,-86.9294497
tates,Centerwood Estates,AL,33.6448248,-86.6691553
ights,Central Heights,AL,34.8945307,-87.7908632
ville,Chalkville,AL,33.653158,-86.6477659
rings,Chalybeate Springs,AL,34.565093,-87.2266849
hill,Chapel Hill,AL,31.693493,-88.4403006
hill,Chapel Hill,AL,32.2398647,-88.1886341
hill,Chapel Hill,AL,33.3987202,-86.7977667
hill,Chapel Hill,AL,33.817329,-87.2102814
ights,Chapman Heights,AL,34.753702,-86.5688809
luffs,Cherokee Bluffs,AL,32.682075,-85.9063494
rest,Cherokee Forest,AL,33.4687175,-86.7660997
grove,Chestnut Grove,AL,31.5971074,-85.9135566
sburg,Childersburg,AL,33.2781686,-86.3549774
city,Choctaw City,AL,32.209033,-88.0941857
city,Clay City,AL,30.4857508,-87.8066569
ville,Clintonville,AL,31.4071125,-85.8941078
ights,Cloverdale Heights,AL,34.8698086,-87.6919726
ights,Clubview Heights,AL,33.9781533,-86.0158052
alley,Coal Valley,AL,33.7401099,-87.4180611
ing,Coaling,AL,33.1590078,-87.340834
city,Cobb City,AL,33.9167658,-85.912469
rings,Coffee Springs,AL,31.1646193,-85.9093821
ville,Coffeeville,AL,31.7579353,-88.0897308
ights,Colbert Heights,AL,34.6609244,-87.6944746
rings,Cold Springs,AL,33.9817697,-87.0333373
ights,Colonial Heights,AL,34.7145342,-87.6839186
city,Columbus City,AL,34.460644,-86.233315
creek,Coon Creek,AL,33.8312152,-87.0283338
land,Copeland,AL,31.5601632,-88.4191872
ville,Corbinville,AL,34.2831488,-86.1874777
grove,Cottage Grove,AL,32.8556806,-86.1224682
hill,Cottage Hill,AL,30.6501911,-88.1461126
hill,Cottage Hill,AL,33.4820519,-86.978327
alley,Cotton Valley,AL,32.292922,-85.6921733
wood,Cottonwood,AL,31.0487933,-85.3049326
tates,Country Club Estates,AL,30.6838013,-88.1491685
tates,Country Estates,AL,33.6345472,-86.6666551
land,Courtland,AL,34.6689794,-87.3094649
beach,Cox Beach,AL,30.8521298,-88.039999
ford,Crawford,AL,32.4568081,-85.1896611
