Cluster,Placename,State,Lat,Long
5112,Sherpur,Bihar,25.233710000000002,85.43712
6165,Ajitpur,Bihar,25.5645,85.82953
5571,Fatehullahpur,Bihar,26.07234,85.5747
4999,Kawaspur,Bihar,25.761722,85.810068
5223,Akbarpur,Bihar,25.291539999999998,86.17772
7086,Siri Kantpur,Bihar,25.322110000000002,83.8951
5165,Sherpur,Bihar,25.018629999999998,84.87394
5077,Manikpur,Bihar,25.22462,85.32661
3195,Shahpur,Bihar,24.77625,85.55613000000001
5092,Hemanpur,Bihar,25.2603,84.78543
5028,Dharampur,Bihar,25.43304,85.6416
4279,Kanakpur,Bihar,24.604879999999998,83.93619
6240,Maniarpur,Bihar,25.90625,85.78625
6189,Manipur,Bihar,25.8808,85.80359
5164,Akhanpur,Bihar,25.048939999999998,84.83491
7223,Kanak Narayanpur,Bihar,25.4917,83.89009
5219,Partappur,Bihar,25.4591,86.31206999999999
5905,Nirmalpur,Bihar,25.60932,84.62901
6063,Akhtiarpur,Bihar,25.16477,83.70744
5583,Naurang Shahpur,Bihar,26.08527,85.22317
5546,Khangura Dih Urf Lakmipur,Bihar,26.24373,85.65808
5140,Akhtiarpur,Bihar,25.332079999999998,85.28764
5117,Jaitipur,Bihar,25.294829999999997,85.69239
5141,Mithapur,Bihar,25.50692,84.81671999999999
2701,Jagni Jagarnathpur,Bihar,25.8918,87.31999
6265,Akhtiarpur,Bihar,25.87736,85.22918
5578,Akhtiyarpur,Bihar,25.46772,86.14047
5045,Raghunathpur,Bihar,25.42661,84.81558000000001
6116,Kafarpur,Bihar,25.69202,85.04092
6294,Alahbadpur,Bihar,25.941010000000002,85.08459
5598,Arizpur,Bihar,26.16392,85.31257
5193,Bazidpur,Bihar,24.97315,84.96006
4741,Mianpur,Bihar,24.831220000000002,84.46613
5136,Alampur,Bihar,25.16917,84.92643000000001
6122,Mahamdipur,Bihar,25.56869,85.71302
6151,Alampur,Bihar,25.62124,85.77574
6209,Tulsipur,Bihar,25.500770000000003,86.02033
4412,Rampur,Bihar,26.4105,84.6377
5155,Chak Paharpur,Bihar,26.215320000000002,84.82235
4898,Alapur,Bihar,25.209529999999997,85.93427
6500,Mohammadpur,Bihar,26.15145,84.41571
4551,Basatpur,Bihar,24.68287,84.51696
7073,Sansarpur,Bihar,25.3759,83.83969
